;instance;makespans;result;models;models_more;time_total;time_unsat
0;1_3_18_L.lp.out;[1632];FEASIBLE;1;True;300.001;0.0
1;2_3_24_L.lp.out;[3137];OPTIMAL;1;False;72.213;0.001
2;3_3_28_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
3;4_3_5_L.lp.out;[665];OPTIMAL;1;False;0.125;0.001
4;5_3_47_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
5;6_3_32_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
6;7_3_10_L.lp.out;[1338];OPTIMAL;1;False;0.264;0.001
7;8_3_28_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
8;9_3_18_L.lp.out;[2325];OPTIMAL;1;False;0.484;0.0
9;10_3_20_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
10;11_3_19_L.lp.out;[1990];FEASIBLE;1;True;300.0;0.0
11;12_3_25_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
12;13_3_15_L.lp.out;[1756];OPTIMAL;1;False;0.719;0.0
13;14_3_29_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
14;15_3_32_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
15;16_3_45_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
16;17_3_40_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
17;18_3_31_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
18;19_3_30_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
19;20_3_7_L.lp.out;[850];OPTIMAL;1;False;0.18;0.01
20;21_3_9_L.lp.out;[915];OPTIMAL;1;False;0.286;0.038
21;22_3_10_L.lp.out;[1077];OPTIMAL;1;False;3.941;3.058
22;23_3_44_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
23;24_3_41_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
24;25_3_33_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
25;26_3_29_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
26;27_3_42_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
27;28_3_28_L.lp.out;[2451, 2451, 2451, 2451, 2451];OPTIMAL;5;False;88.091;1.774
28;29_3_34_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
29;30_3_24_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
30;31_3_30_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
31;32_3_26_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
32;33_3_5_L.lp.out;[677];OPTIMAL;1;False;0.198;0.008
33;34_3_12_L.lp.out;[1319];OPTIMAL;1;False;4.659;1.265
34;35_3_44_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
35;36_3_44_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
36;37_3_31_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
37;38_3_44_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
38;39_3_24_L.lp.out;[2302, 2257, 2282, 2245, 2103, 2099, 2099, 2099, 2099, 2099, 2099, 2099, 2099, 2099, 2091];FEASIBLE;15;True;300.001;0.0
39;40_3_28_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
40;41_3_38_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
41;42_3_38_L.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
42;43_3_22_L.lp.out;[2738, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2699, 2700, 2700, 2700, 2700, 2700, 2700, 2700, 2700, 2700, 2700, 2700, 2683, 2613, 2458, 2424];FEASIBLE;49;True;300.0;0.0
43;44_3_42_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
44;45_3_10_L.lp.out;[1280];OPTIMAL;1;False;13.485;4.475
45;46_3_37_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
46;47_3_46_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
47;48_3_6_L.lp.out;[937];OPTIMAL;1;False;0.203;0.168
48;49_3_25_L.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
49;50_3_11_L.lp.out;[1312];OPTIMAL;1;False;9.682;9.274
50;51_3_46_H.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
51;52_3_37_H.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
52;53_3_35_H.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
53;54_3_41_H.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
54;55_3_35_H.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
55;56_3_33_H.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
56;57_3_15_H.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
57;58_3_24_H.lp.out;[];UNFEASIBLE;0;True;300.0;0.0
58;59_3_7_H.lp.out;[1161];OPTIMAL;1;False;8.902;3.122
59;60_3_40_H.lp.out;[];UNFEASIBLE;0;True;300.001;0.0
